idx	doy	ts	lyr	Depth	Soil_water_pot	Water_content	Transpiration	Sensible soil heat
222260001	222	26	1	2.00	17.60	43.19	0.00	0.00
222260002	222	26	2	1.60	17.96	43.62	0.00	0.00
222260003	222	26	3	1.30	18.33	44.04	0.00	0.00
222260004	222	26	4	1.00	18.85	44.61	0.00	0.00
222260005	222	26	5	0.70	19.72	45.53	0.00	0.00
222260006	222	26	6	0.59	20.34	46.12	34.12	8.65
222260007	222	26	7	0.48	20.77	46.52	33.11	6.58
222260008	222	26	8	0.44	21.00	46.71	31.55	5.35
222260009	222	26	9	0.41	21.18	46.84	29.88	4.34
222260010	222	26	10	0.38	21.34	46.94	28.19	3.47
222260011	222	26	11	0.35	21.47	47.01	26.53	2.68
222260012	222	26	12	0.33	21.59	47.05	24.96	1.95
222260013	222	26	13	0.31	21.70	47.07	19.95	7.57
222260014	222	26	14	0.29	21.81	47.08	1.22	34.29
222260015	222	26	15	0.26	21.95	47.20	1.20	29.78
222260016	222	26	16	0.23	22.13	47.46	1.18	25.54
222260017	222	26	17	0.19	22.38	47.97	1.15	21.54
222260018	222	26	18	0.09	23.08	49.70	0.00	0.00
222260019	222	26	19	0.06	23.30	50.26	0.00	0.00
222260020	222	26	20	0.03	23.66	51.16	0.00	0.00
222260021	222	26	21	0.00	-29.25	13.68	0.00	0.00
222260022	222	26	22	0.00	-2.37	22.61	0.00	0.00
222260023	222	26	23	-0.01	-1.69	24.20	0.01	0.00
222260024	222	26	24	-0.03	-1.25	25.72	0.03	0.00
222260025	222	26	25	-0.08	-1.69	24.21	0.03	0.00
222260026	222	26	26	-0.10	-5.64	23.13	0.01	0.00
222260027	222	26	27	-0.15	-11.58	24.40	-0.01	0.00
222260028	222	26	28	-0.20	-12.72	24.05	-0.02	0.00
222260029	222	26	29	-0.30	-13.82	23.74	-0.03	0.00
222260030	222	26	30	-0.38	-13.07	23.95	-0.01	0.00
222260031	222	26	31	-0.40	-5.57	22.02	0.00	0.00
222260032	222	26	32	-0.42	-2.34	19.51	0.02	0.00
222260033	222	26	33	-0.50	-1.82	20.40	0.03	0.00
222260034	222	26	34	-0.60	-1.81	20.43	0.02	0.00
222260035	222	26	35	-0.70	-1.75	20.54	0.02	0.00
222260036	222	26	36	-0.80	-1.70	20.66	0.02	0.00
222260037	222	26	37	-1.00	-1.64	20.78	0.02	0.00
222260038	222	26	38	-1.25	-1.60	20.87	0.01	0.00
222260039	222	26	39	-1.50	-1.57	20.93	0.01	0.00
222260040	222	26	40	-1.75	-1.56	20.96	0.00	0.00
222260041	222	26	41	-2.00	-1.55	21.00	0.00	0.00
223260001	223	26	1	2.00	20.70	44.54	0.00	0.00
223260002	223	26	2	1.60	21.53	45.48	0.00	0.00
223260003	223	26	3	1.30	22.37	46.38	0.00	0.00
223260004	223	26	4	1.00	23.56	47.57	0.00	0.00
223260005	223	26	5	0.70	25.57	49.40	0.00	0.00
223260006	223	26	6	0.59	26.98	50.54	43.74	2.30
223260007	223	26	7	0.48	28.78	51.59	42.13	-0.01
223260008	223	26	8	0.44	29.67	51.84	39.93	-1.00
223260009	223	26	9	0.41	30.32	51.79	37.71	-1.66
223260010	223	26	10	0.38	30.81	51.51	35.57	-2.15
223260011	223	26	11	0.35	31.18	51.04	33.56	-2.51
223260012	223	26	12	0.33	31.44	50.39	31.72	-2.80
223260013	223	26	13	0.31	31.62	49.55	27.04	1.49
223260014	223	26	14	0.29	31.74	48.47	2.02	27.49
223260015	223	26	15	0.26	31.87	47.66	2.01	23.81
223260016	223	26	16	0.23	32.02	47.13	1.99	20.46
223260017	223	26	17	0.19	32.20	46.90	1.96	17.38
223260018	223	26	18	0.09	32.62	47.29	0.00	0.00
223260019	223	26	19	0.06	32.72	47.38	0.00	0.00
223260020	223	26	20	0.03	32.87	47.52	0.00	0.00
223260021	223	26	21	0.00	-982.60	6.78	0.00	0.00
223260022	223	26	22	0.00	-11.51	16.49	0.00	0.00
223260023	223	26	23	-0.01	-5.64	19.02	0.00	0.00
223260024	223	26	24	-0.03	-3.56	20.85	0.02	0.00
223260025	223	26	25	-0.08	-3.52	20.89	0.02	0.00
223260026	223	26	26	-0.10	-5.60	23.17	0.01	0.00
223260027	223	26	27	-0.15	-7.80	25.93	0.01	0.00
223260028	223	26	28	-0.20	-8.62	25.53	0.00	0.00
223260029	223	26	29	-0.30	-9.26	25.25	0.00	0.00
223260030	223	26	30	-0.38	-8.25	25.71	0.00	0.00
223260031	223	26	31	-0.40	-6.13	21.68	0.00	0.00
223260032	223	26	32	-0.42	-3.61	18.06	0.01	0.00
223260033	223	26	33	-0.50	-2.43	19.38	0.03	0.00
223260034	223	26	34	-0.60	-2.23	19.67	0.02	0.00
223260035	223	26	35	-0.70	-2.07	19.93	0.02	0.00
223260036	223	26	36	-0.80	-1.93	20.19	0.02	0.00
223260037	223	26	37	-1.00	-1.78	20.47	0.02	0.00
223260038	223	26	38	-1.25	-1.68	20.70	0.01	0.00
223260039	223	26	39	-1.50	-1.62	20.83	0.01	0.00
223260040	223	26	40	-1.75	-1.58	20.91	0.00	0.00
223260041	223	26	41	-2.00	-1.55	21.00	0.00	0.00
224260001	224	26	1	2.00	27.40	89.66	0.00	0.00
224260002	224	26	2	1.60	27.55	90.00	0.00	0.00
224260003	224	26	3	1.30	27.70	90.35	0.00	0.00
224260004	224	26	4	1.00	27.92	90.83	0.00	0.00
224260005	224	26	5	0.70	28.28	91.64	0.00	0.00
224260006	224	26	6	0.59	28.54	92.21	2.64	1.32
224260007	224	26	7	0.48	28.85	92.91	2.22	1.37
224260008	224	26	8	0.44	29.01	93.27	1.87	1.12
224260009	224	26	9	0.41	29.14	93.55	1.57	0.87
224260010	224	26	10	0.38	29.24	93.79	1.33	0.65
224260011	224	26	11	0.35	29.33	94.00	1.14	0.45
224260012	224	26	12	0.33	29.41	94.17	0.98	0.28
224260013	224	26	13	0.31	29.48	94.32	0.73	0.44
224260014	224	26	14	0.29	29.55	94.48	0.06	1.25
224260015	224	26	15	0.26	29.62	94.65	0.06	0.90
224260016	224	26	16	0.23	29.70	94.84	0.06	0.63
224260017	224	26	17	0.19	29.78	95.08	0.05	0.46
224260018	224	26	18	0.09	29.96	95.58	0.00	0.00
224260019	224	26	19	0.06	30.00	95.69	0.00	0.00
224260020	224	26	20	0.03	30.07	95.87	0.00	0.00
224260021	224	26	21	0.00	-0.27	34.95	0.00	0.00
224260022	224	26	22	0.00	-0.27	34.96	0.00	0.00
224260023	224	26	23	-0.01	-0.27	34.94	0.01	0.00
224260024	224	26	24	-0.03	-0.28	34.64	0.02	0.00
224260025	224	26	25	-0.08	-0.77	28.36	0.02	0.00
224260026	224	26	26	-0.10	-4.26	24.28	0.00	0.00
224260027	224	26	27	-0.15	-6.36	26.76	-0.01	0.00
224260028	224	26	28	-0.20	-6.91	26.42	-0.02	0.00
224260029	224	26	29	-0.30	-7.36	26.16	-0.02	0.00
224260030	224	26	30	-0.38	-6.76	26.50	-0.01	0.00
224260031	224	26	31	-0.40	-5.99	21.76	0.00	0.00
224260032	224	26	32	-0.42	-4.37	17.47	0.00	0.00
224260033	224	26	33	-0.50	-2.98	18.69	0.00	0.00
224260034	224	26	34	-0.60	-2.62	19.12	0.00	0.00
224260035	224	26	35	-0.70	-2.37	19.47	0.00	0.00
224260036	224	26	36	-0.80	-2.14	19.82	0.01	0.00
224260037	224	26	37	-1.00	-1.91	20.23	0.01	0.00
224260038	224	26	38	-1.25	-1.75	20.55	0.00	0.00
224260039	224	26	39	-1.50	-1.65	20.75	0.00	0.00
224260040	224	26	40	-1.75	-1.60	20.86	0.00	0.00
224260041	224	26	41	-2.00	-1.55	21.00	0.00	0.00
225260001	225	26	1	2.00	24.80	76.00	0.00	0.00
225260002	225	26	2	1.60	25.22	76.86	0.00	0.00
225260003	225	26	3	1.30	25.65	77.70	0.00	0.00
225260004	225	26	4	1.00	26.25	78.87	0.00	0.00
225260005	225	26	5	0.70	27.26	80.80	0.00	0.00
225260006	225	26	6	0.59	27.97	82.11	11.06	3.83
225260007	225	26	7	0.48	28.89	83.75	10.00	3.73
225260008	225	26	8	0.44	29.36	84.56	8.88	3.00
225260009	225	26	9	0.41	29.72	85.17	7.85	2.32
225260010	225	26	10	0.38	30.02	85.67	6.90	1.73
225260011	225	26	11	0.35	30.27	86.07	6.06	1.21
225260012	225	26	12	0.33	30.48	86.39	5.32	0.75
225260013	225	26	13	0.31	30.67	86.65	4.15	1.50
225260014	225	26	14	0.29	30.86	86.89	0.19	5.34
225260015	225	26	15	0.26	31.06	87.19	0.18	4.06
225260016	225	26	16	0.23	31.26	87.56	0.17	3.03
225260017	225	26	17	0.19	31.49	88.05	0.16	2.28
225260018	225	26	18	0.09	31.96	89.26	0.00	0.00
225260019	225	26	19	0.06	32.08	89.54	0.00	0.00
225260020	225	26	20	0.03	32.24	89.97	0.00	0.00
225260021	225	26	21	0.00	-0.18	38.03	0.00	0.00
225260022	225	26	22	0.00	-0.18	38.07	0.00	0.00
225260023	225	26	23	-0.01	-0.17	38.10	0.00	0.00
225260024	225	26	24	-0.03	-0.17	38.15	0.01	0.00
225260025	225	26	25	-0.08	-0.18	37.75	0.01	0.00
225260026	225	26	26	-0.10	-0.20	41.46	0.01	0.00
225260027	225	26	27	-0.15	-0.21	45.09	0.01	0.00
225260028	225	26	28	-0.20	-0.25	44.02	0.01	0.00
225260029	225	26	29	-0.30	-0.65	37.97	0.01	0.00
225260030	225	26	30	-0.38	-3.42	29.44	0.00	0.00
225260031	225	26	31	-0.40	-4.32	22.95	0.00	0.00
225260032	225	26	32	-0.42	-3.96	17.78	0.00	0.00
225260033	225	26	33	-0.50	-2.94	18.73	0.00	0.00
225260034	225	26	34	-0.60	-2.62	19.12	0.00	0.00
225260035	225	26	35	-0.70	-2.38	19.45	0.00	0.00
225260036	225	26	36	-0.80	-2.17	19.77	0.00	0.00
225260037	225	26	37	-1.00	-1.93	20.18	0.00	0.00
225260038	225	26	38	-1.25	-1.76	20.52	0.00	0.00
225260039	225	26	39	-1.50	-1.66	20.73	0.00	0.00
225260040	225	26	40	-1.75	-1.61	20.85	0.00	0.00
225260041	225	26	41	-2.00	-1.55	21.00	0.00	0.00
226260001	226	26	1	2.00	26.90	62.32	0.00	0.00
226260002	226	26	2	1.60	27.24	62.43	0.00	0.00
226260003	226	26	3	1.30	27.58	62.52	0.00	0.00
226260004	226	26	4	1.00	28.05	62.65	0.00	0.00
226260005	226	26	5	0.70	28.86	62.81	0.00	0.00
226260006	226	26	6	0.59	29.43	62.90	36.59	9.99
226260007	226	26	7	0.48	29.68	62.92	34.67	7.91
226260008	226	26	8	0.44	29.81	62.92	32.46	6.54
226260009	226	26	9	0.41	29.91	62.91	30.26	5.43
226260010	226	26	10	0.38	30.00	62.89	28.13	4.48
226260011	226	26	11	0.35	30.08	62.86	26.11	3.66
226260012	226	26	12	0.33	30.14	62.82	24.22	2.91
226260013	226	26	13	0.31	30.21	62.77	19.20	8.47
226260014	226	26	14	0.29	30.27	62.71	0.92	35.07
226260015	226	26	15	0.26	30.35	62.72	0.90	30.41
226260016	226	26	16	0.23	30.45	62.83	0.88	26.09
226260017	226	26	17	0.19	30.59	63.09	0.86	22.05
226260018	226	26	18	0.09	30.98	64.08	0.00	0.00
226260019	226	26	19	0.06	31.10	64.40	0.00	0.00
226260020	226	26	20	0.03	31.30	64.91	0.00	0.00
226260021	226	26	21	0.00	-0.42	31.93	0.00	0.00
