idx	doy	ts	lyr	Temp_can
222010000	222	1	0	17.43
222020000	222	2	0	17.19
222030000	222	3	0	17.06
222040000	222	4	0	16.65
222050000	222	5	0	16.68
222060000	222	6	0	16.42
222070000	222	7	0	16.01
222080000	222	8	0	16.19
222090000	222	9	0	15.94
222100000	222	10	0	15.73
222110000	222	11	0	15.92
222120000	222	12	0	16.21
222130000	222	13	0	17.59
222140000	222	14	0	19.50
222150000	222	15	0	22.55
222160000	222	16	0	24.35
222170000	222	17	0	26.13
222180000	222	18	0	26.83
222190000	222	19	0	28.31
222200000	222	20	0	30.26
222210000	222	21	0	31.19
222220000	222	22	0	31.86
222230000	222	23	0	32.62
222240000	222	24	0	33.55
222250000	222	25	0	34.06
222260000	222	26	0	34.53
222270000	222	27	0	34.75
222280000	222	28	0	34.36
222290000	222	29	0	34.41
222300000	222	30	0	34.36
222310000	222	31	0	33.76
222320000	222	32	0	32.89
222330000	222	33	0	32.23
222340000	222	34	0	31.27
222350000	222	35	0	30.01
222360000	222	36	0	28.70
222370000	222	37	0	26.53
222380000	222	38	0	24.78
222390000	222	39	0	21.51
222400000	222	40	0	19.89
222410000	222	41	0	19.37
222420000	222	42	0	19.00
222430000	222	43	0	18.67
222440000	222	44	0	18.39
222450000	222	45	0	18.31
222460000	222	46	0	17.83
222470000	222	47	0	17.88
222480000	222	48	0	17.75
223010000	223	1	0	17.58
223020000	223	2	0	17.67
223030000	223	3	0	17.86
223040000	223	4	0	17.67
223050000	223	5	0	17.24
223060000	223	6	0	17.05
223070000	223	7	0	17.37
223080000	223	8	0	17.20
223090000	223	9	0	17.06
223100000	223	10	0	17.09
223110000	223	11	0	16.97
223120000	223	12	0	17.00
223130000	223	13	0	18.26
223140000	223	14	0	20.57
223150000	223	15	0	23.31
223160000	223	16	0	25.46
223170000	223	17	0	28.05
223180000	223	18	0	30.24
223190000	223	19	0	33.36
223200000	223	20	0	34.72
223210000	223	21	0	35.62
223220000	223	22	0	36.59
223230000	223	23	0	40.21
223240000	223	24	0	37.83
223250000	223	25	0	37.91
223260000	223	26	0	40.74
223270000	223	27	0	36.08
223280000	223	28	0	40.29
